date,precipitation,temp_max,temp_min
01-01-2012,0.0,12.8,5.0
02-01-2012,10.9,10.6,2.8
03-01-2012,0.8,11.7,7.2
04-01-2012,20.3,12.2,5.6
05-01-2012,1.3,8.9,2.8
06-01-2012,2.5,4.4,2.2
07-01-2012,0.0,7.2,2.8
08-01-2012,0.0,10.0,2.8
09-01-2012,4.3,9.4,5.0
10-01-2012,1.0,6.1,0.6
11-01-2012,0.0,6.1,-1.1
12-01-2012,0.0,6.1,-1.7
13-01-2012,0.0,5.0,-2.8
14-01-2012,4.1,4.4,0.6
15-01-2012,5.3,1.1,-3.3
16-01-2012,2.5,1.7,-2.8
17-01-2012,8.1,3.3,0.0
18-01-2012,19.8,0.0,-2.8
19-01-2012,15.2,-1.1,-2.8
20-01-2012,13.5,7.2,-1.1
21-01-2012,3.0,8.3,3.3
22-01-2012,6.1,6.7,2.2
23-01-2012,0.0,8.3,1.1
24-01-2012,8.6,10.0,2.2
25-01-2012,8.1,8.9,4.4
26-01-2012,4.8,8.9,1.1
27-01-2012,0.0,6.7,-2.2
28-01-2012,0.0,6.7,0.6
29-01-2012,27.7,9.4,3.9
30-01-2012,3.6,8.3,6.1
31-01-2012,1.8,9.4,6.1
01-02-2012,13.5,8.9,3.3
02-02-2012,0.0,8.3,1.7
03-02-2012,0.0,14.4,2.2
04-02-2012,0.0,15.6,5.0
05-02-2012,0.0,13.9,1.7
06-02-2012,0.0,16.1,1.7
07-02-2012,0.3,15.6,7.8
08-02-2012,2.8,10.0,5.0
09-02-2012,2.5,11.1,7.8
10-02-2012,2.5,12.8,6.7
11-02-2012,0.8,8.9,5.6
12-02-2012,1.0,8.3,5.0
13-02-2012,11.4,7.2,4.4
14-02-2012,2.5,6.7,1.1
15-02-2012,0.0,7.2,0.6
16-02-2012,1.8,7.2,3.3
17-02-2012,17.3,10.0,4.4
18-02-2012,6.4,6.7,3.9
19-02-2012,0.0,6.7,2.2
20-02-2012,3.0,7.8,1.7
21-02-2012,0.8,10.0,7.8
22-02-2012,8.6,10.0,2.8
23-02-2012,0.0,8.3,2.8
24-02-2012,11.4,6.7,4.4
25-02-2012,0.0,7.2,2.8
26-02-2012,1.3,5.0,-1.1
27-02-2012,0.0,6.7,-2.2
28-02-2012,3.6,6.7,-0.6
29-02-2012,0.8,5.0,1.1
01-03-2012,0.0,6.1,1.1
02-03-2012,2.0,6.7,3.9
03-03-2012,0.0,12.2,6.7
04-03-2012,0.0,10.6,6.7
05-03-2012,6.9,7.8,1.1
06-03-2012,0.5,6.7,0.0
07-03-2012,0.0,8.9,-1.7
08-03-2012,0.0,15.6,0.6
09-03-2012,3.6,9.4,5.0
10-03-2012,10.4,7.2,6.1
11-03-2012,13.7,6.7,2.8
12-03-2012,19.3,8.3,0.6
13-03-2012,9.4,5.6,0.6
14-03-2012,8.6,7.8,1.1
15-03-2012,23.9,11.1,5.6
16-03-2012,8.4,8.9,3.9
17-03-2012,9.4,10.0,0.6
18-03-2012,3.6,5.0,-0.6
19-03-2012,2.0,7.2,-1.1
20-03-2012,3.6,7.8,2.2
21-03-2012,1.3,8.9,1.1
22-03-2012,4.1,10.0,1.7
23-03-2012,0.0,12.2,0.6
24-03-2012,0.0,15.0,3.3
25-03-2012,0.0,13.3,2.2
26-03-2012,0.0,12.8,6.1
27-03-2012,4.8,14.4,6.7
28-03-2012,1.3,10.6,7.2
29-03-2012,27.4,10.0,6.1
30-03-2012,5.6,9.4,5.0
31-03-2012,13.2,10.0,2.8
01-04-2012,1.5,8.9,4.4
02-04-2012,0.0,16.7,4.4
03-04-2012,1.5,11.7,3.3
04-04-2012,0.0,10.6,2.8
05-04-2012,4.6,9.4,2.8
06-04-2012,0.3,11.1,3.3
07-04-2012,0.0,16.1,1.7
08-04-2012,0.0,21.1,7.2
09-04-2012,0.0,20.0,6.1
10-04-2012,0.0,17.8,8.9
11-04-2012,2.3,11.1,7.2
12-04-2012,0.5,13.9,5.6
13-04-2012,0.0,15.0,3.9
14-04-2012,0.0,15.6,3.3
15-04-2012,0.0,16.1,7.2
16-04-2012,8.1,13.3,6.7
17-04-2012,1.8,10.0,4.4
18-04-2012,1.8,13.3,7.2
19-04-2012,10.9,13.9,5.0
20-04-2012,6.6,13.3,6.7
21-04-2012,0.0,20.0,4.4
22-04-2012,0.0,23.3,8.3
23-04-2012,0.0,21.7,8.9
24-04-2012,4.3,13.9,10.0
25-04-2012,10.7,16.7,8.9
26-04-2012,3.8,13.9,6.7
27-04-2012,0.8,13.3,6.1
28-04-2012,0.0,16.1,8.3
29-04-2012,4.3,15.6,8.9
30-04-2012,4.3,12.8,7.2
01-05-2012,0.5,11.7,6.1
02-05-2012,0.5,13.3,5.6
03-05-2012,18.5,11.1,7.2
04-05-2012,1.8,12.2,6.1
05-05-2012,0.0,13.3,5.0
06-05-2012,0.0,17.8,5.0
07-05-2012,0.0,23.9,6.1
08-05-2012,0.0,18.3,9.4
09-05-2012,0.0,13.3,6.7
10-05-2012,0.0,14.4,3.9
11-05-2012,0.0,18.3,4.4
12-05-2012,0.0,24.4,6.7
13-05-2012,0.0,25.6,9.4
14-05-2012,0.0,26.7,12.8
15-05-2012,0.0,24.4,9.4
16-05-2012,0.0,19.4,9.4
17-05-2012,0.0,17.8,6.7
18-05-2012,0.0,15.6,7.8
19-05-2012,0.0,19.4,7.2
20-05-2012,6.4,14.4,11.7
21-05-2012,14.0,16.7,10.0
22-05-2012,6.1,12.8,8.9
23-05-2012,0.3,14.4,8.9
24-05-2012,0.0,17.2,8.9
25-05-2012,0.0,22.2,8.9
26-05-2012,0.0,22.2,8.9
