date_date;wind;weather
2012-01-01;4.7;drizzle
2012-01-02;4.5;rain
2012-01-03;2.3;rain
2012-01-04;4.7;rain
2012-01-05;6.1;rain
2012-01-06;2.2;rain
2012-01-07;2.3;rain
2012-01-08;2.0;sun
2012-01-09;3.4;rain
2012-01-10;3.4;rain
2012-01-11;5.1;sun
2012-01-12;1.9;sun
2012-01-13;1.3;sun
2012-01-14;5.3;snow
2012-01-15;3.2;snow
2012-01-16;5.0;snow
2012-01-17;5.6;snow
2012-01-18;5.0;snow
2012-01-19;1.6;snow
2012-01-20;2.3;snow
2012-01-21;8.2;rain
2012-01-22;4.8;rain
2012-01-23;3.6;rain
2012-01-24;5.1;rain
2012-01-25;5.4;rain
2012-01-26;4.8;rain
2012-01-27;1.4;drizzle
2012-01-28;2.2;rain
2012-01-29;4.5;rain
2012-01-30;5.1;rain
2012-01-31;3.9;rain
2012-02-01;2.7;rain
2012-02-02;2.6;sun
2012-02-03;5.3;sun
2012-02-04;4.3;sun
2012-02-05;2.9;sun
2012-02-06;5.0;sun
2012-02-07;5.3;rain
2012-02-08;2.7;rain
2012-02-09;2.4;rain
2012-02-10;3.0;rain
2012-02-11;3.4;rain
2012-02-12;1.3;rain
2012-02-13;1.4;rain
2012-02-14;3.1;rain
2012-02-15;1.8;drizzle
2012-02-16;2.1;rain
2012-02-17;3.4;rain
2012-02-18;8.1;rain
2012-02-19;4.7;sun
2012-02-20;2.9;rain
2012-02-21;7.5;rain
2012-02-22;5.9;rain
2012-02-23;3.9;sun
2012-02-24;3.5;rain
2012-02-25;6.4;rain
2012-02-26;3.4;snow
2012-02-27;3.0;sun
2012-02-28;4.2;snow
2012-02-29;7.0;snow
2012-03-01;3.1;sun
2012-03-02;5.1;rain
2012-03-03;7.0;sun
2012-03-04;5.6;rain
2012-03-05;6.2;rain
2012-03-06;2.7;snow
2012-03-07;2.7;sun
2012-03-08;2.5;sun
2012-03-09;2.8;rain
2012-03-10;3.4;rain
2012-03-11;5.8;rain
2012-03-12;6.2;snow
2012-03-13;5.3;snow
2012-03-14;4.7;rain
2012-03-15;5.8;snow
2012-03-16;5.1;rain
2012-03-17;3.8;snow
2012-03-18;2.7;rain
2012-03-19;3.0;rain
2012-03-20;6.4;rain
2012-03-21;2.5;rain
2012-03-22;2.1;rain
2012-03-23;2.8;sun
2012-03-24;5.2;sun
2012-03-25;2.7;rain
2012-03-26;4.3;drizzle
2012-03-27;3.8;rain
2012-03-28;5.9;rain
2012-03-29;4.4;rain
2012-03-30;4.7;rain
2012-03-31;3.4;rain
2012-04-01;6.8;rain
2012-04-02;3.1;sun
2012-04-03;3.1;rain
2012-04-04;2.1;sun
2012-04-05;1.8;snow
2012-04-06;2.6;rain
2012-04-07;4.3;sun
2012-04-08;4.1;sun
2012-04-09;2.1;sun
2012-04-10;3.2;rain
2012-04-11;2.6;rain
2012-04-12;2.6;rain
2012-04-13;4.0;drizzle
2012-04-14;3.0;sun
2012-04-15;2.9;rain
2012-04-16;5.8;rain
2012-04-17;2.0;rain
2012-04-18;3.9;rain
2012-04-19;2.6;rain
2012-04-20;2.7;rain
2012-04-21;2.3;sun
2012-04-22;2.6;rain
2012-04-23;3.5;sun
2012-04-24;2.8;rain
2012-04-25;2.6;rain
2012-04-26;5.2;rain
2012-04-27;4.8;rain
2012-04-28;2.5;drizzle
2012-04-29;1.6;rain
2012-04-30;8.0;rain
2012-05-01;6.4;rain
2012-05-02;2.5;rain
2012-05-03;3.4;rain
2012-05-04;4.6;rain
2012-05-05;2.3;sun
2012-05-06;2.4;sun
2012-05-07;2.2;sun
2012-05-08;3.0;sun
2012-05-09;3.9;rain
2012-05-10;3.0;sun
2012-05-11;4.3;sun
2012-05-12;3.4;sun
2012-05-13;4.2;sun
2012-05-14;3.8;sun
2012-05-15;4.1;drizzle
2012-05-16;3.5;sun
2012-05-17;2.9;rain
2012-05-18;3.1;rain
2012-05-19;1.5;sun
2012-05-20;1.3;rain
2012-05-21;4.0;rain
2012-05-22;4.8;rain
2012-05-23;6.3;rain
2012-05-24;3.3;rain
2012-05-25;3.1;rain
2012-05-26;3.6;sun
2012-05-27;3.7;sun
2012-05-28;3.4;rain
2012-05-29;1.8;sun
2012-05-30;1.5;rain
2012-05-31;2.7;rain
2012-06-01;3.7;rain
2012-06-02;3.7;rain
2012-06-03;2.9;sun
2012-06-04;3.1;rain
2012-06-05;3.3;rain
2012-06-06;3.4;sun
2012-06-07;3.5;rain
2012-06-08;3.0;rain
2012-06-09;4.7;rain
2012-06-10;2.9;sun
2012-06-11;1.8;rain
2012-06-12;3.9;rain
2012-06-13;4.3;sun
2012-06-14;2.7;sun
2012-06-15;1.7;sun
2012-06-16;4.1;rain
2012-06-17;6.4;sun
2012-06-18;3.8;rain
2012-06-19;3.0;rain
2012-06-20;3.0;sun
2012-06-21;2.1;sun
2012-06-22;1.9;rain
2012-06-23;2.5;rain
2012-06-24;2.0;drizzle
2012-06-25;3.1;rain
2012-06-26;3.4;rain
2012-06-27;1.8;sun
2012-06-28;2.5;rain
2012-06-29;1.9;rain
2012-06-30;2.4;rain
2012-07-01;2.3;rain
2012-07-02;2.1;rain
2012-07-03;6.0;rain
2012-07-04;3.8;sun
2012-07-05;3.1;drizzle
2012-07-06;2.1;sun
2012-07-07;3.8;sun
2012-07-08;2.8;rain
2012-07-09;2.0;rain
2012-07-10;2.3;drizzle
2012-07-11;2.9;fog
2012-07-12;2.7;drizzle
2012-07-13;2.2;rain
2012-07-14;2.2;rain
2012-07-15;3.8;rain
2012-07-16;2.5;rain
2012-07-17;2.6;sun
2012-07-18;2.9;sun
2012-07-19;2.2;sun
2012-07-20;4.0;rain
2012-07-21;2.3;sun
2012-07-22;3.9;rain
2012-07-23;3.3;rain
2012-07-24;4.3;sun
2012-07-25;2.6;sun
2012-07-26;2.2;drizzle
2012-07-27;2.8;drizzle
2012-07-28;1.7;drizzle
2012-07-29;2.0;sun
2012-07-30;3.0;sun
2012-07-31;2.8;sun
2012-08-01;2.2;drizzle
2012-08-02;2.5;sun
2012-08-03;3.9;sun
2012-08-04;3.7;sun
2012-08-05;1.9;sun
2012-08-06;2.5;rain
2012-08-07;2.6;drizzle
2012-08-08;3.1;sun
2012-08-09;3.8;drizzle
2012-08-10;2.3;sun
2012-08-11;2.5;sun
2012-08-12;3.0;sun
2012-08-13;2.8;sun
2012-08-14;2.8;sun
2012-08-15;4.7;sun
2012-08-16;2.8;sun
2012-08-17;1.8;sun
2012-08-18;3.0;drizzle
2012-08-19;2.7;drizzle
2012-08-20;1.9;sun
2012-08-21;3.0;rain
2012-08-22;2.3;sun
2012-08-23;3.8;sun
2012-08-24;3.3;sun
2012-08-25;3.2;sun
2012-08-26;3.4;sun
2012-08-27;1.8;sun
2012-08-28;3.2;sun
2012-08-29;2.4;sun
2012-08-30;1.9;sun
2012-08-31;2.9;sun
2012-09-01;2.1;sun
2012-09-02;2.0;sun
2012-09-03;3.3;sun
2012-09-04;3.1;sun
2012-09-05;2.6;sun
2012-09-06;4.2;sun
2012-09-07;3.1;sun
2012-09-08;3.0;sun
2012-09-09;5.0;rain
2012-09-10;3.9;rain
2012-09-11;4.2;sun
2012-09-12;5.6;sun
2012-09-13;3.6;sun
2012-09-14;1.5;sun
2012-09-15;1.9;sun
2012-09-16;2.3;sun
2012-09-17;2.2;fog
